X,Y,OBJECTID,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,LIGHT_CONDITION,LONGITUDE,LATITUDE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL,REGION_NAME_ALL,Suburb,Year,Month,Month_name
144.9873087816591,-38.31847927844545,3406750,29/12/2013,09.15.00,Yes,Collision with vehicle,Sunday,RIGHT REAR.,Day,144.98731,-38.31848,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,4,1,0,0,1,3,3,1,2,1,1,0,0,0,0,0,0,0,0,0,No,0,3,0,1,0,0,MELB_URBAN,MELB_URBAN,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,SAFETY BEACH,2013,12,December
145.00878924054717,-37.95770948092471,3406751,29/12/2013,10.00.00,Yes,No collision and no object struck,Sunday,OFF CARRIAGEWAY TO LEFT,Day,145.00879,-37.95771,BAYSIDE,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,BAYSIDE,METROPOLITAN SOUTH EAST REGION,SANDRINGHAM,2013,12,December
144.94974063763036,-37.76276897383264,3406764,11/12/2013,21.10.00,Yes,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),Dark Street lights on,144.94974,-37.76277,MORELAND,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,MORELAND,METROPOLITAN NORTH WEST REGION,BRUNSWICK WEST,2013,12,December
144.33458851243512,-38.12110073606976,3406772,11/12/2013,12.20.00,No,Collision with vehicle,Wednesday,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,Day,144.33459,-38.1211,GEELONG,SOUTH WESTERN REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,1,0,No,0,2,0,1,0,0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,NORTH GEELONG,2013,12,December
144.89982840034844,-38.36167930190507,3406785,22/12/2013,08.50.00,Yes,Collision with vehicle,Sunday,CROSS TRAFFIC(INTERSECTIONS ONLY),Day,144.89983,-38.36168,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,1,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,ROSEBUD,2013,12,December
144.4361129057938,-37.65257070690649,3406786,22/12/2013,09.20.00,Yes,Collision with vehicle,Sunday,CROSS TRAFFIC(INTERSECTIONS ONLY),Day,144.43611,-37.652570000000004,MOORABOOL,WESTERN REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,No,0,2,0,1,0,0,SMALL_CITIES,SMALL_CITIES,MOORABOOL,WESTERN REGION,DARLEY,2013,12,December
144.9967091834741,-37.805434837811,3406806,29/12/2013,20.40.00,Yes,Collision with vehicle,Sunday,RIGHT THROUGH,Dusk/Dawn,144.99671,-37.80543,YARRA,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,YARRA,METROPOLITAN NORTH WEST REGION,ABBOTSFORD,2013,12,December
144.9881172125326,-37.78146531209025,3406811,13/9/2013,05.30.00,Yes,Collision with vehicle,Friday,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,Unk.,144.98812,-37.78147,YARRA,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,No,0,2,0,0,0,0,MELB_URBAN,MELB_URBAN,YARRA,METROPOLITAN NORTH WEST REGION,FITZROY NORTH,2013,9,September
145.0259631442391,-37.96240041628647,3406816,12/12/2013,08.45.00,No,Collision with vehicle,Thursday,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,Day,145.02596,-37.9624,BAYSIDE,METROPOLITAN SOUTH EAST REGION,2,1,0,1,0,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,BAYSIDE,METROPOLITAN SOUTH EAST REGION,SANDRINGHAM,2013,12,December
145.01141940884625,-37.83751951623931,3406823,17/12/2013,08.00.00,No,Collision with vehicle,Tuesday,RIGHT NEAR (INTERSECTIONS ONLY),Day,145.01142,-37.83752,STONNINGTON,METROPOLITAN SOUTH EAST REGION,2,1,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,STONNINGTON,METROPOLITAN SOUTH EAST REGION,TOORAK,2013,12,December
144.96727965887428,-37.85559076022168,3406829,16/12/2013,20.20.00,Yes,Collision with vehicle,Monday,LEFT NEAR (INTERSECTIONS ONLY),Dusk/Dawn,144.96728000000004,-37.85559,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,3,1,0,0,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,ST KILDA WEST,2013,12,December
144.89787450598138,-38.35865005842723,3406834,17/12/2013,16.43.00,No,Collision with vehicle,Tuesday,PULLING OUT (OVERTAKING),Day,144.89786999999995,-38.35865,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,1,0,0,1,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,ROSEBUD,2013,12,December
144.97181049196155,-37.79762423817694,3406836,12/12/2013,17.05.00,No,Collision with vehicle,Thursday,LEFT TURN SIDESWIPE,Day,144.97181,-37.79762,MELBOURNE,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,CARLTON,2013,12,December
144.99636299313374,-37.807623229962395,3406864,12/12/2013,08.26.00,No,Collision with vehicle,Thursday,RIGHT THROUGH,Day,144.99636,-37.80762,YARRA,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,YARRA,METROPOLITAN NORTH WEST REGION,ABBOTSFORD,2013,12,December
145.37774309858426,-38.02892654374389,3406872,12/12/2013,18.30.00,Yes,Collision with vehicle,Thursday,CROSS TRAFFIC(INTERSECTIONS ONLY),Day,145.37774,-38.028929999999995,CARDINIA,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,No,0,2,0,0,0,0,RURAL_VICTORIA,RURAL_VICTORIA,CARDINIA,METROPOLITAN SOUTH EAST REGION,BEACONSFIELD,2013,12,December
144.98615892893275,-37.81070410801171,3406883,17/12/2013,17.32.00,No,Collision with vehicle,Tuesday,LEFT TURN SIDESWIPE,Day,144.98616,-37.8107,MELBOURNE,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,EAST MELBOURNE,2013,12,December
144.8315968893066,-37.78867886786068,3406884,17/12/2013,19.30.00,Yes,Collision with vehicle,Tuesday,CROSS TRAFFIC(INTERSECTIONS ONLY),Dusk/Dawn,144.8316,-37.78868,BRIMBANK,METROPOLITAN NORTH WEST REGION,2,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,BRIMBANK,METROPOLITAN NORTH WEST REGION,SUNSHINE,2013,12,December
145.05675741802182,-37.8460153666056,3406893,23/12/2013,08.10.00,No,Collision with vehicle,Monday,RIGHT NEAR (INTERSECTIONS ONLY),Day,145.05676,-37.84602,BOROONDARA,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,BOROONDARA,METROPOLITAN SOUTH EAST REGION,CAMBERWELL,2013,12,December
144.6848187550598,-37.96002947980853,3406895,23/12/2013,09.00.00,No,Collision with vehicle,Monday,HEAD ON (NOT OVERTAKING),Day,144.68482,-37.960029999999996,WYNDHAM,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,WYNDHAM,METROPOLITAN NORTH WEST REGION,WERRIBEE SOUTH,2013,12,December
144.9832260647508,-37.8789674336984,3406929,18/12/2013,07.00.00,No,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),Day,144.98323,-37.87897,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,2,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,ELWOOD,2013,12,December
144.9526978106949,-37.79779173260222,3406930,18/12/2013,08.03.00,No,Collision with vehicle,Wednesday,LANE CHANGE LEFT (NOT OVERTAKING),Day,144.9527,-37.79779,MELBOURNE,METROPOLITAN NORTH WEST REGION,3,1,0,0,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,PARKVILLE,2013,12,December
143.819369962044,-37.546440169811966,3406932,17/12/2013,19.00.00,Yes,Collision with vehicle,Tuesday,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,Day,143.81937,-37.546440000000004,BALLARAT,WESTERN REGION,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,No,0,2,0,1,0,0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,BALLARAT,WESTERN REGION,LAKE GARDENS,2013,12,December
145.12257283909173,-38.076599592003454,3406935,7/12/2013,09.40.00,No,No collision and no object struck,Saturday,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),Day,145.12257,-38.0766,KINGSTON,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,KINGSTON,METROPOLITAN SOUTH EAST REGION,CARRUM,2013,12,December
144.99847038200897,-37.74211763270214,3406942,17/12/2013,17.20.00,No,Collision with vehicle,Tuesday,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,Day,144.99847,-37.74212,DAREBIN,METROPOLITAN NORTH WEST REGION,2,2,0,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,1,2,0,1,0,0,MELB_URBAN,MELB_URBAN,DAREBIN,METROPOLITAN NORTH WEST REGION,PRESTON,2013,12,December
145.15313923002267,-37.94714926859861,3406943,22/12/2013,11.59.00,No,Collision with vehicle,Sunday,RIGHT THROUGH,Day,145.15313999999995,-37.94715,DANDENONG,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,DANDENONG,METROPOLITAN SOUTH EAST REGION,SPRINGVALE,2013,12,December
144.6716729550828,-37.87638584219543,3406952,8/12/2013,07.00.00,Yes,Collision with vehicle,Sunday,LEFT NEAR (INTERSECTIONS ONLY),Day,144.67167,-37.87639,WYNDHAM,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,WYNDHAM,METROPOLITAN NORTH WEST REGION,WERRIBEE,2013,12,December
145.11562046391703,-38.05060867732175,3406958,8/12/2013,10.10.00,No,Collision with vehicle,Sunday,LEFT TURN SIDESWIPE,Day,145.11562,-38.05061,KINGSTON,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,KINGSTON,METROPOLITAN SOUTH EAST REGION,CHELSEA,2013,12,December
144.9556229238992,-37.8344303328568,3406962,8/12/2013,11.50.00,No,Collision with vehicle,Sunday,RIGHT THROUGH,Day,144.95561999999995,-37.83443,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,SOUTH MELBOURNE,2013,12,December
144.9683008665866,-37.73809525686238,3406967,3/11/2013,07.00.00,No,Collision with vehicle,,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,Dusk/Dawn,144.9683,-37.7381,MORELAND,METROPOLITAN NORTH WEST REGION,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,No,0,2,0,0,0,0,MELB_URBAN,MELB_URBAN,MORELAND,METROPOLITAN NORTH WEST REGION,COBURG,2013,11,November
145.00141768459406,-37.930259736944016,3406973,13/12/2013,11.50.00,No,Collision with vehicle,Friday,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,Day,145.00142,-37.93026,BAYSIDE,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,BAYSIDE,METROPOLITAN SOUTH EAST REGION,HAMPTON,2013,12,December
144.94521689156687,-37.81561085983951,3406978,15/12/2013,07.10.00,Yes,Collision with vehicle,Sunday,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,Day,144.94522,-37.81561,MELBOURNE,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,DOCKLANDS,2013,12,December
144.23169404043742,-36.78506814868843,3406982,8/11/2013,08.15.00,No,Collision with vehicle,Friday,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,Day,144.23169,-36.78507000000001,BENDIGO,NORTHERN REGION,2,1,0,0,1,1,0,2,1,0,1,0,0,0,0,1,0,0,0,1,No,0,2,0,1,0,0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,BENDIGO,NORTHERN REGION,KANGAROO FLAT,2013,11,November
